mercadoria,sentido,porto,data_coleta
GRAN.LIQUIDO NAO ESPECIF,Importação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
GAS LIQUEFEITO,Importação,Santos,2025-02-18 16:12:12
ETHANOL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO VEGETAL,Exportação,Santos,2025-02-18 16:12:12
OLEO COMBUSTIVEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,Importação,Santos,2025-02-18 16:12:12
OLEO COMBUSTIVEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO COMBUSTIVEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Exportação,Santos,2025-02-18 16:12:12
GASOLINA COMUM,Exportação,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,Importação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Importação,Santos,2025-02-18 16:12:12
SODA CAUSTICA,Importação,Santos,2025-02-18 16:12:12
SODA CAUSTICA,Importação,Santos,2025-02-18 16:12:12
OLEO DIESEL,Importação,Santos,2025-02-18 16:12:12
OLEO COMBUSTIVEL,Exportação,Santos,2025-02-18 16:12:12
OLEO LUBRIFICANTE,Importação,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,EMB DESC,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,Exportação,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,Exportação,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,Importação,Santos,2025-02-18 16:12:12
GAS LIQUEFEITO,Importação,Santos,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,Importação,Santos,2025-02-18 16:12:12
